,UID,predict
0,1000337,2
1,1000340,1
2,1002438,1
3,1002454,1
4,1002833,1
5,1002839,1
6,1002850,1
7,1002915,1
8,1003222,1
9,1003231,1
10,1005180,2
11,1005272,1
12,1007704,1
13,1008024,1
14,1008528,1
15,1008628,2
16,1009281,2
17,1010201,1
18,1010247,1
19,1010389,0
20,1010463,2
21,1010465,0
22,1010467,0
23,1013504,1
24,1014141,1
25,1014359,1
26,1014361,1
27,1014399,1
28,1014400,1
29,1014401,1
30,1014408,1
31,1014427,2
32,1014437,1
33,1014445,1
34,1014461,1
35,1014484,1
36,1014787,1
37,1014874,1
38,1015789,2
39,1016552,1
40,1016563,1
41,1016803,1
42,1016807,1
43,1016810,1
44,1016812,1
45,1016814,1
46,1016818,1
47,1017253,2
48,1017591,1
49,1017822,1
50,1017871,1
51,1017875,1
52,1017884,1
53,1018169,1
54,1028791,1
55,1029720,1
56,1030065,0
57,1030798,1
58,1031020,2
59,1019009,0
60,1019199,1
61,1019228,1
62,1019234,1
63,1019236,1
64,1019240,1
65,1019242,2
66,1019250,1
67,1019263,1
68,1019271,1
69,1019286,1
70,1020309,0
71,1020358,2
72,1020417,0
73,1020464,2
74,1021012,1
75,1021013,1
76,1021057,1
77,1021059,1
78,1022955,0
79,1023040,2
80,1023133,0
81,1024111,2
82,1024115,1
83,1024480,2
84,1024931,0
85,1025419,2
86,1025511,1
87,1025715,1
88,1025755,1
89,1025770,2
90,1026093,0
91,1026130,0
92,1026131,0
93,1026137,0
94,1026970,1
95,1028789,1
96,1032234,1
97,1033176,2
98,1033196,0
99,103409,0
100,1034371,2
101,103459,1
102,1034930,0
103,1035595,1
104,1035665,1
105,1035687,1
106,1035691,1
107,1035851,1
108,1035857,1
109,1036303,2
110,1036461,0
111,1036685,0
112,1037264,0
113,1037657,2
114,1037658,1
115,1037660,1
116,1037686,1
117,1037884,2
118,1038456,2
119,1038460,1
120,1038584,0
121,1039833,2
122,1039849,0
123,1039870,2
124,1041057,0
125,1042087,0
126,1042197,2
127,1042767,0
128,1042949,1
129,1043421,1
130,1043477,2
131,1043496,1
132,1044080,1
133,1044097,1
134,1044526,2
135,1045445,0
136,1046395,2
137,1046416,1
138,1046428,1
139,1046487,1
140,1046499,1
141,107434,0
142,107476,0
143,107649,0
144,108220,0
145,108742,0
146,108822,1
147,11001412,2
148,11004227,0
149,11008334,0
150,11009825,1
151,11010407,2
