UID,Name,NationID,Born,Age,Height,Weight,Finishing,FirstTouch,Heading,Technique,Anticipation,OffTheBall,Agility,Strength,Position
1000337,STong Qi,110,7/4/1985,31,170,65,7,9,13,9,10,11,7,6,ST 
1000340,Chen Lei,110,20-01-1983,33,181,70,12,5,12,3,4,9,4,5,ST 
1002438,JameST-John DawST,765,29-05-1978,38,194,88,10,4,12,4,3,7,11,11,ST 
1002454,STtéphane AmbaSTSTa,11,23-07-1982,33,188,84,10,12,8,7,9,10,7,11,ST 
1002833,Chen Dong,110,10/7/1982,33,183,75,8,6,10,7,5,12,11,11,ST 
1002839,Pan Min,110,2/5/1981,35,182,82,13,7,10,7,5,13,8,8,ST 
1002850,Liu Meng,110,12/11/1980,35,176,73,13,9,12,6,7,10,7,5,ST 
1002915,Xie Junhui,110,18-09-1984,31,175,68,10,9,13,5,5,9,7,6,ST 
1003222,Li Xiao,110,18-04-1985,31,183,69,11,11,11,8,6,8,7,6,ST 
1003231,Hu Jun,110,15-09-1985,30,178,68,12,5,12,4,5,11,9,10,ST 
1005180,Khairul Amri,134,15-03-1985,31,173,66,12,12,4,13,7,11,7,7,ST 
1005272,Xu Kefei,110,13-07-1983,32,184,78,12,9,8,5,11,9,9,7,ST 
1007704,Zhang Hao,110,12/2/1987,29,180,78,11,11,10,8,7,8,11,6,ST 
1008024,Yang SThuai,110,9/11/1984,31,180,72,12,7,9,10,8,12,8,7,ST 
1008528,Li Chen,110,10/6/1981,35,173,74,11,4,6,8,8,10,8,4,ST 
1008628,Zhang Tiangang,110,20-02-1985,31,174,65,9,9,7,11,10,11,12,6,ST 
1009281,Mehdi STeyed STalehi,114,27-07-1981,34,190,72,12,13,12,10,10,10,11,6,ST 
1010201,Daniyal Nur,110,24-11-1985,30,184,70,13,6,6,8,6,13,12,7,ST 
1010247,STebaSTtian Page,801,19-05-1989,27,184,0,11,10,8,5,10,11,9,5,ST 
1010389,Mahmoud DarwiSTh,143,1/7/1984,32,176,72,14,14,14,9,14,11,10,10,ST 
1010463,Mohamed Mubarak,130,19-07-1984,31,173,69,14,10,12,10,11,13,13,8,ST 
1010465,HaSThim STaleh,130,15-10-1981,34,162,61,15,12,13,15,14,15,13,10,ST 
1010467,Imad Al-HoSTeni,130,18-07-1984,31,180,66,17,12,13,14,13,14,13,11,ST 
1013504,Mohd Nadzrin Abdullah,109,8/8/1993,22,170,0,8,11,3,7,7,9,12,5,ST 
1014141,Yin Lizheng,110,8/11/1983,32,178,68,12,8,12,3,4,7,6,5,ST 
1014359,Afindi Yati Tuah,109,30-05-1982,34,166,0,13,9,9,10,5,8,7,7,ST 
1014361,Mohd Zulremi Zaini,109,18-04-1983,33,175,0,8,8,9,4,7,11,6,6,ST 
1014399,STyamra Zaini,109,4/10/1989,26,175,0,12,5,8,5,3,10,12,3,ST 
1014400,Fairuz Junit,109,3/7/1987,28,166,0,10,8,9,3,7,7,10,5,ST 
1014401,Hamid Mohamad,109,8/7/1989,26,177,0,6,9,11,5,1,5,11,2,ST 
1014408,YuSTmin Hatta,109,26-04-1983,33,183,0,13,7,9,6,6,4,5,7,ST 
1014427,Mohd Mardi Bujang,109,19-10-1984,31,169,64,13,11,12,10,6,9,9,6,ST 
1014437,Razali Matali,109,26-11-1993,22,177,0,12,10,4,5,7,10,8,5,ST 
1014445,Mohd STardillah Abdullah,109,21-02-1997,19,165,0,13,8,11,4,8,10,8,6,ST 
1014461,Muhd Zulfadli,109,24-10-1987,28,175,0,8,5,6,3,2,7,11,5,ST 
1014484,Mohd HariST STafwan Mohd Kamal,125,8/6/1982,34,171,67,13,8,12,6,9,12,10,5,ST 
1014787,Mohd Faizal Abdullah,125,19-11-1983,32,163,65,13,11,13,7,6,9,11,5,ST 
1014874,Mohd Nazri Akui,125,13-06-1982,34,175,0,11,8,9,7,6,12,10,8,ST 
1015789,Mohd SThahrazen STaid,109,14-12-1985,30,178,71,10,10,10,4,10,13,13,7,ST 
1016552,Feng Hao,110,12/2/1988,28,173,62,11,9,6,6,9,11,10,9,ST 
1016563,Qian Qiquan,110,5/6/1987,29,184,70,11,8,11,3,7,6,8,5,ST 
1016803,Mohd SThah Johan SThari,109,7/12/1988,27,171,0,11,3,4,4,5,8,13,6,ST 
1016807,Marhazif Ahmad,109,14-01-1984,32,175,0,12,7,10,10,8,10,10,7,ST 
1016810,Hanafi STuhaili,109,29-08-1991,24,172,0,12,5,4,1,4,9,12,4,ST 
1016812,Affandi Julaihi,109,3/1/1992,24,184,0,6,5,11,5,3,6,12,8,ST 
1016814,Mohd Azri Jebri,109,14-01-1991,25,187,0,8,5,4,3,5,8,8,8,ST 
1016818,KamiST Juing,109,27-02-1997,19,178,0,9,4,7,4,5,7,8,5,ST 
1017253,Mohammad Ghaddar,123,1/1/1984,32,181,72,12,10,10,14,13,10,13,8,ST 
1017591,Zhu Jie,110,24-11-1984,31,175,55,12,8,12,7,9,10,8,4,ST 
1017822,Wang Qi,110,1/2/1985,31,188,70,12,9,8,4,7,9,9,9,ST 
1017871,Wang Teng,110,17-12-1985,30,180,78,11,2,7,2,5,8,10,6,ST 
1017875,Lu An,110,22-07-1986,29,190,78,11,4,1,5,1,10,11,12,ST 
1017884,Yang Fan,110,30-09-1985,30,184,76,11,10,6,6,7,5,11,7,ST 
1018169,Tan Baiqiang,110,4/10/1984,31,181,68,12,10,10,6,5,8,8,5,ST 
1028791,Hu Wei,110,25-10-1988,27,182,0,10,7,7,2,1,10,10,5,ST 
1029720,Wong King Wa,111,23-10-1985,30,164,65,7,13,11,9,5,8,12,7,ST 
1030065,Mohammed Al-STahlawi,133,10/1/1987,29,180,72,13,13,11,11,14,13,12,9,ST 
1030798,Billyton Vun,125,18-02-1975,41,185,0,12,8,4,6,7,10,9,7,ST 
1031020,STebaSTtián MoneSTterolo,1649,30-03-1983,33,181,0,14,11,11,11,11,14,10,8,ST 
1019009,Mojtaba Zarei,114,1/3/1984,32,176,0,10,14,14,11,10,13,12,11,ST 
1019199,Yang Yudi,110,6/3/1988,28,176,62,11,11,9,7,7,9,11,9,ST 
1019228,Edi AdriST,109,14-11-1987,28,188,0,6,6,8,2,6,10,11,8,ST 
1019234,Awangku YunuST,109,13-07-1998,17,176,0,10,4,2,5,3,7,10,5,ST 
1019236,Awangku Mohd Daimul,109,4/4/1993,23,187,0,2,9,12,4,3,3,7,9,ST 
1019240,Othman Apong,109,8/2/1988,28,178,0,11,9,8,5,9,9,11,7,ST 
1019242,Mohd Helmi Zambin,109,30-03-1987,29,170,68,10,13,7,11,8,13,13,10,ST 
1019250,Marzan Mohd Jamin,109,29-09-1990,25,176,0,12,7,9,3,5,5,12,4,ST 
1019263,Muhd Fahmi MaSTri,109,1/4/1996,20,182,0,13,10,8,5,10,6,10,5,ST 
1019271,Muhd Khayrun STalleh,109,22-11-1985,30,182,0,11,10,9,5,8,7,8,9,ST 
1019286,Zulkifli TuSTin,109,7/9/1988,27,177,0,11,4,6,4,6,6,9,6,ST 
1020309,Ala'a Hubail,107,25-06-1982,34,170,68,13,13,12,12,10,14,12,11,ST 
1020358,Abdulla Al-Dakheel,107,3/6/1985,31,177,60,11,10,10,12,11,12,15,7,ST 
1020417,HuSTSTain Pelé,107,31-12-1981,34,178,76,13,12,12,11,10,13,11,13,ST 
1020464,Abdulrahman Mubarak,107,13-05-1985,31,167,0,13,11,12,11,11,12,13,6,ST 
1021012,Li Ran,110,11/7/1978,37,179,0,6,7,11,4,4,6,7,5,ST 
1021013,Wang Xiaohui,110,23-12-1984,31,175,0,12,9,6,4,6,12,10,3,ST 
1021057,Tian Li,110,2/7/1973,43,176,66,6,3,8,5,10,6,10,5,ST 
1021059,Wang Xinpeng,110,31-03-1983,33,175,70,8,4,4,4,8,6,11,4,ST 
1022955,Amin MotevaSTelzadeh,114,14-05-1982,34,187,87,13,12,8,12,11,12,10,12,ST 
1023040,SThahram Goudarzi,114,4/4/1987,29,177,0,14,11,14,7,13,12,14,6,ST 
1023133,Norikazu Murakami,116,10/10/1981,34,181,80,10,8,10,11,9,13,9,12,ST 
1024111,Wang Hongwei,110,25-07-1983,32,175,65,9,10,12,7,10,12,8,5,ST 
1024115,Wang Jun,110,5/3/1981,35,181,70,13,10,10,6,8,10,6,6,ST 
1024480,Yang Xu,110,12/8/1988,27,187,0,9,11,11,7,10,13,10,10,ST 
1024931,NaSTSTer Al-SThamrani,133,23-11-1983,32,175,73,11,15,10,14,12,12,15,12,ST 
1025419,YouSTef Al-STalem,133,4/5/1985,31,179,75,10,10,13,13,13,11,10,8,ST 
1025511,Chen Liming,110,20-04-1987,29,183,80,10,10,12,7,6,7,8,5,ST 
1025715,Graeme Lane,765,16-04-1965,51,185,0,13,9,13,4,7,9,6,9,ST 
1025755,Liu Wei,110,17-02-1985,31,175,60,7,5,11,3,10,11,8,6,ST 
1025770,Fábio,111,24-03-1977,39,187,75,11,11,14,10,11,6,10,10,ST 
1026093,MohSTen YouSTefi,114,26-05-1984,32,177,0,14,14,6,12,13,14,10,10,ST 
1026130,Ahmad JamSThidian,114,16-05-1984,32,181,0,14,14,14,11,14,11,11,9,ST 
1026131,Mohammad Gholami,114,13-02-1983,33,185,79,14,10,11,14,12,14,13,10,ST 
1026137,Jalal Rafkhaei,114,24-04-1984,32,175,0,15,14,14,14,11,14,7,9,ST 
1026970,Li Ling Fung,111,3/1/1986,30,189,74,8,5,12,2,6,12,7,13,ST 
1028789,Xu Zhan,110,14-11-1987,28,194,84,11,10,11,5,5,9,11,12,ST 
1032234,Guntur Djafril,134,3/4/1985,31,172,64,10,8,7,8,8,8,10,4,ST 
1033176,António CarloST,1651,12/6/1979,37,188,72,14,14,13,10,11,10,11,8,ST 
1033196,Mohamed Koné,24,28-02-1984,32,185,82,11,10,13,11,8,12,7,12,ST 
103409,Gary Hamilton,785,6/10/1980,35,176,77,11,11,7,13,13,10,8,10,ST 
1034371,Bai Di,110,28-03-1985,31,180,75,13,13,13,10,4,13,8,8,ST 
103459,Andrew Moran,765,7/10/1979,36,175,70,14,9,7,10,6,6,3,4,ST 
1034930,Yang Xu,110,12/2/1988,28,188,70,12,11,14,10,13,12,11,14,ST 
1035595,Dong Wei,110,1/4/1980,36,179,72,12,7,3,5,7,11,5,5,ST 
1035665,Zhao Xin,110,30-12-1986,29,182,70,12,12,9,7,4,12,12,4,ST 
1035687,Liu Feifei,110,31-08-1986,29,177,65,9,10,9,8,8,5,10,6,ST 
1035691,Yu Fei,110,29-03-1987,29,186,80,10,9,7,4,10,10,7,10,ST 
1035851,Liu Rui,110,23-03-1985,31,177,76,14,8,13,6,6,7,11,8,ST 
1035857,Zhou XueSTi,110,25-09-1987,28,180,72,12,3,6,8,5,3,12,7,ST 
1036303,Abdulla Waheed,107,24-03-1987,29,180,0,12,9,9,10,9,10,12,8,ST 
1036461,RaSThad Jamal,107,18-01-1979,37,180,0,14,9,15,13,12,12,9,14,ST 
1036685,Mehrdad Oladi,114,25-05-1985,31,183,76,13,9,12,16,7,13,15,17,ST 
1037264,AlauSTa Kabiro,38,28-03-1983,33,181,81,14,14,14,14,7,14,11,14,ST 
1037657,Muhd Maududi,109,5/2/1989,27,168,64,13,10,12,7,9,11,11,6,ST 
1037658,Anaqi STufi Omar Baki,109,22-07-1990,25,173,0,12,9,12,6,6,9,9,5,ST 
1037660,Hidayatur Rahim Aliuddin,109,26-08-1989,26,176,0,10,8,7,7,9,7,12,10,ST 
1037686,Ahmad Aminuddin SThaharuddin,125,21-03-1990,26,172,58,11,9,9,4,6,10,11,3,ST 
1037884,Mohammad Al-Hamwi,137,9/6/1984,32,170,58,15,15,12,13,12,13,13,7,ST 
1038456,Mohd Hardi Bujang,109,19-10-1984,31,169,64,9,11,13,6,9,13,10,8,ST 
1038460,Budiman Jumat,109,25-04-1984,32,172,0,10,6,12,9,10,7,9,6,ST 
1038584,Ibrahima Touré,41,17-12-1985,30,188,75,15,11,14,11,13,14,10,13,ST 
1039833,Farderin Kadir,125,30-01-1987,29,170,75,11,13,8,9,10,7,9,5,ST 
1039849,CarloST Nadalich,1649,17-06-1981,35,178,78,14,8,11,10,10,12,10,11,ST 
1039870,Mohd Azlan ISTmail,125,3/10/1984,31,178,73,12,8,11,10,7,14,7,8,ST 
1041057,Hadi ASTghari,114,12/5/1981,35,188,0,13,14,13,12,9,14,10,10,ST 
1042087,STaeid Daghighi,114,21-01-1986,30,189,0,13,13,12,8,13,11,13,11,ST 
1042197,MoSTtafa SThojaei,114,27-03-1983,33,180,0,13,14,14,12,11,13,8,7,ST 
1042767,An Chol-Hyok,129,27-06-1985,31,178,71,11,11,15,10,15,12,15,12,ST 
1042949,Liu Long,110,27-06-1988,28,183,79,12,6,11,6,5,6,9,6,ST 
1043421,Muhd SThafiq Jamal,125,12/12/1987,28,177,71,10,7,12,6,9,12,12,6,ST 
1043477,Mohd Azamuddin Mohd Akil,125,16-04-1985,31,170,64,13,13,12,9,8,9,9,4,ST 
1043496,Zhou Liao,110,14-01-1989,27,181,70,8,8,6,8,10,9,12,11,ST 
1044080,Li Yi,110,29-09-1985,30,177,68,12,9,12,8,4,6,11,5,ST 
1044097,Zeng STong,110,10/6/1985,31,180,70,12,9,12,4,3,6,5,6,ST 
1044526,Daniel Okechukwu,38,13-03-1983,33,184,80,13,8,13,12,12,13,10,7,ST 
1045445,Abdulmajeed Abdullah,133,28-08-1986,29,168,60,13,13,13,10,12,13,13,10,ST 
1046395,Ahmed Fahmie,134,20-04-1987,29,171,65,11,11,8,8,12,8,12,8,ST 
1046416,Erwan Gunawan,134,20-03-1987,29,176,68,11,8,9,10,7,9,12,6,ST 
1046428,Ridwan Jamil,134,9/5/1988,28,178,80,7,6,9,7,8,7,11,12,ST 
1046487,Li Haoyuan,110,10/4/1989,27,179,69,12,7,11,12,6,6,12,5,ST 
1046499,Wahyudi Abdul Wahid,134,29-10-1989,26,172,70,8,12,7,9,8,8,13,3,ST 
107434,Mikael ForSTSTell,768,15-03-1981,35,184,89,15,16,14,14,14,9,8,12,ST 
107476,Rafael,1651,1/8/1978,37,185,83,12,10,13,11,10,11,7,14,ST 
107649,Domagoj Abramovic,761,1/4/1981,35,184,79,12,11,13,12,12,13,7,13,ST 
108220,Aaron Wilbraham,765,21-10-1979,36,191,78,12,13,15,12,13,12,12,14,ST 
108742,ChriST Templeman,793,12/1/1980,36,196,97,10,14,12,13,8,5,7,15,ST 
108822,Andy Hutcheon,793,16-05-1979,37,173,73,4,4,8,7,9,7,7,5,ST 
11001412,Vilfor HySTa,752,9/9/1989,26,163,60,12,12,12,11,12,11,13,8,ST 
11004227,Bekim Balaj,752,11/1/1991,25,188,80,14,13,14,11,10,16,15,12,ST 
11008334,Armando STadiku,752,27-05-1991,25,186,80,13,12,13,12,13,14,10,13,ST 
11009825,Artan SThillova,752,25-09-1993,22,178,0,10,8,9,8,5,13,9,6,ST 
11010407,Artnand Tahirllari,752,12/2/1992,24,177,0,11,10,8,9,9,11,11,8,ST 
11021998,Ndue Mujeci,752,24-02-1993,23,181,78,10,13,10,13,10,13,11,12,ST 
11022221,Vedat Muriqi,217945,24-04-1994,22,194,82,15,9,15,9,12,13,10,15,ST 
11027761,STerginho,1651,6/5/1995,21,179,0,15,14,14,12,13,9,12,8,ST 
115022,Alejandro Mello,1657,13-05-1979,37,183,80,14,10,15,11,12,11,9,13,ST 
116007,Zhang Yuning,110,25-05-1976,40,186,80,11,10,12,9,10,7,4,13,ST 
116127,STamuli YliaSTka,768,27-09-1974,41,182,0,11,4,5,9,10,8,8,5,ST 
116453,TomaST DoSTek,763,12/9/1978,37,178,78,17,14,14,14,13,16,11,9,ST 
116942,Bobi Verdeş,790,24-11-1980,35,184,80,12,10,12,10,10,10,11,13,ST 
12000239,Daniel Agbagwu,38,13-08-1987,28,185,78,13,13,13,13,10,9,10,15,ST 
12000255,Amine Aoudia,5,6/6/1987,29,190,78,12,13,17,12,14,11,11,16,ST 
12000270,Hamza YouneST,51,16-04-1986,30,186,84,14,12,15,13,13,14,11,15,ST 
12000279,Baba STylla,31,16-06-1988,28,188,83,9,9,13,8,10,11,8,16,ST 
12000331,Ahmed El Zuway,28,28-12-1982,33,183,78,14,9,15,11,12,13,12,14,ST 
12000380,Prince Tagoe,21,9/11/1986,29,188,78,13,11,13,11,12,10,14,12,ST 
12000414,MouSTSTa Tigana,31,2/6/1987,29,178,0,14,9,12,12,13,14,14,11,ST 
12000732,Timothy Anjembe,38,20-09-1987,28,180,80,13,11,13,12,14,14,12,8,ST 
12001014,Igho Otegheri,38,20-11-1983,32,183,78,15,8,14,11,15,15,12,13,ST 
12001267,Claude Mvé-MintSTa,19,30-01-1985,31,170,67,14,12,14,13,13,13,11,10,ST 
12001328,Cheick Diabaté,31,25-04-1988,28,194,88,15,12,16,11,14,14,12,18,ST 
12001517,Francky STembolo,49,9/8/1985,30,182,83,13,11,13,12,12,14,10,12,ST 
12002130,Geofrey MaSTSTa,52,19-02-1986,30,184,0,13,13,13,13,8,11,13,9,ST 
12002387,Momodou CeeSTay,20,24-12-1988,27,195,87,9,9,16,13,11,6,5,17,ST 
